appellation,annee,volume_hl,couleur
Bordeaux,2009,2862463,rouge
Bordeaux,2010,2457844,rouge
Bordeaux,2011,2834173,rouge
Bordeaux,2012,2274598,rouge
Bordeaux,2013,2673463,rouge
Bordeaux,2014,2936744,rouge
Bordeaux,2015,3213752,rouge
Bordeaux,2016,1667029,rouge
Bordeaux,2017,1645187,rouge
Bordeaux,2018,2848284,rouge
Bordeaux,2019,2540252,rouge
Médoc,2009,450385,rouge
Médoc,2010,395115,rouge
Médoc,2011,449732,rouge
Médoc,2012,391672,rouge
Médoc,2013,416976,rouge
Médoc,2014,438469,rouge
Médoc,2015,492941,rouge
Médoc,2016,318788,rouge
Médoc,2017,261114,rouge
Médoc,2018,519220,rouge
Médoc,2019,441052,rouge
Saint-Émilion,2009,243610,rouge
Saint-Émilion,2010,224408,rouge
Saint-Émilion,2011,281702,rouge
Saint-Émilion,2012,206944,rouge
Saint-Émilion,2013,215013,rouge
Saint-Émilion,2014,238546,rouge
Saint-Émilion,2015,285011,rouge
Saint-Émilion,2016,190611,rouge
Saint-Émilion,2017,183599,rouge
Saint-Émilion,2018,285108,rouge
Saint-Émilion,2019,238876,rouge
Pomerol,2009,32270,rouge
Pomerol,2010,27946,rouge
Pomerol,2011,31762,rouge
Pomerol,2012,26843,rouge
Pomerol,2013,28123,rouge
Pomerol,2014,32370,rouge
Pomerol,2015,32800,rouge
Pomerol,2016,23236,rouge
Pomerol,2017,19473,rouge
Pomerol,2018,31563,rouge
Pomerol,2019,27539,rouge
Margaux,2009,51302,rouge
Margaux,2010,50016,rouge
Margaux,2011,54063,rouge
Margaux,2012,45089,rouge
Margaux,2013,51698,rouge
Margaux,2014,54886,rouge
Margaux,2015,58166,rouge
Margaux,2016,39332,rouge
Margaux,2017,37064,rouge
Margaux,2018,64726,rouge
Margaux,2019,53487,rouge
Pauillac,2009,50873,rouge
Pauillac,2010,45000,rouge
Pauillac,2011,54424,rouge
Pauillac,2012,40211,rouge
Pauillac,2013,45112,rouge
Pauillac,2014,54994,rouge
Pauillac,2015,55209,rouge
Pauillac,2016,37841,rouge
Pauillac,2017,36033,rouge
Pauillac,2018,58017,rouge
Pauillac,2019,49597,rouge
Sauternes,2009,23916,blanc
Sauternes,2010,21971,blanc
Sauternes,2011,25474,blanc
Sauternes,2012,20460,blanc
Sauternes,2013,21936,blanc
Sauternes,2014,27307,blanc
Sauternes,2015,28625,blanc
Sauternes,2016,18194,blanc
Sauternes,2017,17935,blanc
Sauternes,2018,27040,blanc
Sauternes,2019,25325,blanc
Pessac-Léognan,2009,64572,rouge
Pessac-Léognan,2010,59427,rouge
Pessac-Léognan,2011,65483,rouge
Pessac-Léognan,2012,55792,rouge
Pessac-Léognan,2013,57529,rouge
Pessac-Léognan,2014,67197,rouge
Pessac-Léognan,2015,74668,rouge
Pessac-Léognan,2016,47965,rouge
Pessac-Léognan,2017,43456,rouge
Pessac-Léognan,2018,77191,rouge
Pessac-Léognan,2019,61844,rouge
Chablis,2009,186909,blanc
Chablis,2010,176232,blanc
Chablis,2011,196884,blanc
Chablis,2012,173466,blanc
Chablis,2013,192598,blanc
Chablis,2014,201459,blanc
Chablis,2015,200915,blanc
Chablis,2016,73579,blanc
Chablis,2017,75556,blanc
Chablis,2018,221024,blanc
Chablis,2019,204320,blanc
Meursault,2009,37020,blanc
Meursault,2010,30651,blanc
Meursault,2011,38047,blanc
Meursault,2012,30614,blanc
Meursault,2013,32390,blanc
Meursault,2014,34368,blanc
Meursault,2015,38652,blanc
Meursault,2016,24618,blanc
Meursault,2017,24244,blanc
Meursault,2018,38214,blanc
Meursault,2019,35664,blanc
Pommard,2009,19082,rouge
Pommard,2010,16452,rouge
Pommard,2011,18901,rouge
Pommard,2012,14513,rouge
Pommard,2013,17653,rouge
Pommard,2014,19448,rouge
Pommard,2015,18813,rouge
Pommard,2016,13800,rouge
Pommard,2017,12819,rouge
Pommard,2018,18700,rouge
Pommard,2019,17818,rouge
Gevrey-Chambertin,2009,20126,rouge
Gevrey-Chambertin,2010,19847,rouge
Gevrey-Chambertin,2011,21101,rouge
Gevrey-Chambertin,2012,15641,rouge
Gevrey-Chambertin,2013,17882,rouge
Gevrey-Chambertin,2014,18831,rouge
Gevrey-Chambertin,2015,23082,rouge
Gevrey-Chambertin,2016,15908,rouge
Gevrey-Chambertin,2017,14742,rouge
Gevrey-Chambertin,2018,21322,rouge
Gevrey-Chambertin,2019,17656,rouge
Nuits-Saint-Georges,2009,23330,rouge
Nuits-Saint-Georges,2010,22394,rouge
Nuits-Saint-Georges,2011,21568,rouge
Nuits-Saint-Georges,2012,18658,rouge
Nuits-Saint-Georges,2013,18844,rouge
Nuits-Saint-Georges,2014,23375,rouge
Nuits-Saint-Georges,2015,24770,rouge
Nuits-Saint-Georges,2016,15518,rouge
Nuits-Saint-Georges,2017,15339,rouge
Nuits-Saint-Georges,2018,24392,rouge
Nuits-Saint-Georges,2019,20114,rouge
Beaune,2009,26489,rouge
Beaune,2010,23457,rouge
Beaune,2011,25039,rouge
Beaune,2012,21383,rouge
Beaune,2013,23846,rouge
Beaune,2014,24280,rouge
Beaune,2015,26186,rouge
Beaune,2016,20235,rouge
Beaune,2017,17919,rouge
Beaune,2018,27227,rouge
Beaune,2019,23816,rouge
Volnay,2009,9393,rouge
Volnay,2010,9081,rouge
Volnay,2011,10227,rouge
Volnay,2012,8620,rouge
Volnay,2013,8802,rouge
Volnay,2014,9743,rouge
Volnay,2015,10058,rouge
Volnay,2016,7657,rouge
Volnay,2017,6696,rouge
Volnay,2018,11713,rouge
Volnay,2019,10046,rouge
Chambolle-Musigny,2009,7450,rouge
Chambolle-Musigny,2010,7281,rouge
Chambolle-Musigny,2011,8627,rouge
